batch,rows,anomaly,drift,missing,combined,decision,missing_risk
0,50000,0.0,0.4965,0.0,0.4965,PASS,0.3015
1,50000,0.0,0.417,0.0,0.417,PASS,0.3879
2,50000,0.0,0.2448,0.0,0.2448,PASS,0.3801
3,50000,0.0,0.0063,0.0,0.0063,PASS,0.3733
4,50000,0.0,0.2647,0.0,0.2647,PASS,0.3081
5,50000,0.0,0.2448,0.0,0.2448,PASS,0.3902
6,50000,0.002,0.0858,0.0,0.0858,PASS,0.3994
7,50000,0.0,0.2117,0.0,0.2117,PASS,0.399
8,50000,0.0,0.2845,0.0,0.2845,PASS,0.3955
9,50000,0.0,0.1057,0.0,0.1057,PASS,0.3936
10,50000,0.0,0.3707,0.0,0.3707,PASS,0.397
11,50000,0.0,0.4237,0.0,0.4237,PASS,0.3943
12,50000,0.0,0.1057,0.0,0.1057,PASS,0.393
13,50000,0.0,0.1852,0.0,0.1852,PASS,0.363
14,50000,0.002,0.4634,0.0,0.4634,PASS,0.3415
15,50000,0.0,0.47,0.0,0.47,PASS,0.3891
16,50000,0.0,0.2647,0.0,0.2647,PASS,0.3982
17,50000,0.0,0.2514,0.0,0.2514,PASS,0.3974
18,50000,0.0,0.099,0.0,0.099,PASS,0.3951
19,50000,0.0,0.152,0.0,0.152,PASS,0.3981
20,50000,0.0,0.1587,0.0,0.1587,PASS,0.3967
21,50000,0.002,0.1918,0.0,0.1918,PASS,0.3946
22,50000,0.0,0.2779,0.0,0.2779,PASS,0.3989
23,50000,0.002,0.1918,0.0,0.1918,PASS,0.3132
24,50000,0.0,0.3707,0.0,0.3707,PASS,0.3882
25,50000,0.002,0.258,0.0,0.258,PASS,0.3911
26,50000,0.0,0.1587,0.0,0.1587,PASS,0.4005
27,50000,0.002,0.1322,0.0,0.1322,PASS,0.3997
28,50000,0.0,0.3044,0.0,0.3044,PASS,0.3929
29,50000,0.0,0.0,0.0,0.0,PASS,0.3965
30,50000,0.0,0.3508,0.0,0.3508,PASS,0.3968
31,50000,0.0,0.1984,0.0,0.1984,PASS,0.3913
32,50000,0.0,0.364,0.0,0.364,PASS,0.3998
33,50000,0.002,0.1918,0.0,0.1918,PASS,0.3124
34,50000,0.0,0.4965,0.0,0.4965,PASS,0.389
35,50000,0.0,0.1322,0.0,0.1322,PASS,0.3975
36,50000,0.0,0.417,0.0,0.417,PASS,0.395
37,50000,0.0,0.2249,0.0,0.2249,PASS,0.3959
38,50000,0.0,0.1918,0.0,0.1918,PASS,0.3974
39,50000,0.0,0.47,0.0,0.47,PASS,0.3983
40,50000,0.0,0.2647,0.0,0.2647,PASS,0.3938
41,50000,0.0,0.258,0.0,0.258,PASS,0.3956
42,50000,0.0,0.3905,0.0,0.3905,PASS,0.3607
43,50000,0.0,0.3707,0.0,0.3707,PASS,0.354
44,50000,0.0,0.3707,0.0,0.3707,PASS,0.3875
45,50000,0.002,0.1719,0.0,0.1719,PASS,0.395
46,50000,0.0,0.3508,0.0,0.3508,PASS,0.4022
47,50000,0.002,0.1322,0.0,0.1322,PASS,0.3963
48,50000,0.0,0.1587,0.0,0.1587,PASS,0.3997
49,50000,0.0,0.311,0.0,0.311,PASS,0.39
50,50000,0.0,0.311,0.0,0.311,PASS,0.3955
51,50000,0.0,0.1322,0.0,0.1322,PASS,0.3977
52,50000,0.0,0.2978,0.0,0.2978,PASS,0.3965
53,50000,0.0,0.2183,0.0,0.2183,PASS,0.3898
54,50000,0.0,0.0063,0.0,0.0063,PASS,0.395
55,50000,0.0,0.7748,0.0,0.7748,FAIL,0.3576
56,50000,0.0,0.6025,0.0,0.6025,FAIL,0.3324
57,50000,0.0,0.5628,0.0,0.5628,FAIL,0.3909
58,50000,0.0,0.2514,0.0,0.2514,PASS,0.382
59,50000,0.0,0.1984,0.0,0.1984,PASS,0.3689
60,485,0.0,0.3442,0.0,0.3442,PASS,0.3687
